time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
3,576600,2577,1,2,0,0,0,0,0,0,0,19,13,0,1970-01-01T03:00:03
5,287600,5577,1,2,0,0,1,1,5548,-2,711023,55,13,0,1970-01-01T03:00:05
315964806,55900,8577,1,2,0,1,3,2,6548,315964797,768336,91,13,0,1980-01-06T03:00:06
315964809,55900,11577,1,2,0,1,6,2,6548,315964797,768336,126,13,0,1980-01-06T03:00:09
315964812,55900,14577,1,2,0,1,9,2,6548,315964797,768336,162,13,0,1980-01-06T03:00:12
315964815,55900,17577,1,2,0,1,11,2,6548,315964797,768336,197,13,0,1980-01-06T03:00:15
315964818,55900,20577,1,2,0,1,14,2,6548,315964797,768336,233,13,0,1980-01-06T03:00:18
315964821,55900,23577,1,2,0,1,17,2,6548,315964797,768336,13,13,0,1980-01-06T03:00:21
315964824,55900,26577,1,2,0,1,20,2,6548,315964797,768336,48,13,0,1980-01-06T03:00:24
315964827,55900,29577,1,2,0,1,22,2,6548,315964797,768336,84,13,0,1980-01-06T03:00:27
315964830,55900,32577,1,2,0,1,25,2,6548,315964797,768336,119,13,0,1980-01-06T03:00:30
315964833,55900,35577,1,2,0,1,28,2,6548,315964797,768336,155,13,0,1980-01-06T03:00:33
315964836,55900,38577,1,2,0,1,30,2,6548,315964797,768336,191,13,0,1980-01-06T03:00:36
315964839,55900,41577,1,2,0,1,33,2,6548,315964797,768336,226,13,0,1980-01-06T03:00:39
315964842,55900,44577,1,2,0,1,36,2,6548,315964797,768336,6,13,0,1980-01-06T03:00:42
315964845,55900,47577,1,2,0,1,39,2,6548,315964797,768336,41,13,0,1980-01-06T03:00:45
315964848,55900,50577,1,2,0,1,41,2,6548,315964797,768336,77,13,0,1980-01-06T03:00:48
315964851,55900,53577,1,2,0,1,44,2,6548,315964797,768336,113,13,0,1980-01-06T03:00:51
315964854,55900,56577,1,2,0,1,47,2,6548,315964797,768336,148,13,0,1980-01-06T03:00:54
315964857,55900,59577,1,2,0,1,49,2,6548,315964797,768336,184,13,0,1980-01-06T03:00:57
315964860,55900,62577,1,2,0,1,52,2,6548,315964797,768336,219,13,0,1980-01-06T03:01:00
315964863,55900,65577,1,2,0,1,55,2,6548,315964797,768336,255,13,0,1980-01-06T03:01:03
315964866,55900,68577,1,2,0,1,58,2,6548,315964797,768336,35,13,0,1980-01-06T03:01:06
315964872,55900,74577,1,2,0,1,63,2,6548,315964797,768336,106,13,0,1980-01-06T03:01:12
315964875,55900,77577,1,2,0,1,66,2,6548,315964797,768336,141,13,0,1980-01-06T03:01:15
315964878,55900,80577,1,2,0,1,68,2,6548,315964797,768336,177,13,0,1980-01-06T03:01:18
315964881,55900,83577,1,2,0,1,71,2,6548,315964797,768336,213,13,0,1980-01-06T03:01:21
315964884,55900,86577,1,2,0,1,74,2,6548,315964797,768336,248,13,0,1980-01-06T03:01:24
315964887,55900,89577,1,2,0,1,77,2,6548,315964797,768336,28,13,0,1980-01-06T03:01:27
315964890,55900,92577,1,2,0,1,79,2,6548,315964797,768336,63,13,0,1980-01-06T03:01:30
315964893,55900,95577,1,2,0,1,82,2,6548,315964797,768336,99,13,0,1980-01-06T03:01:33
315964896,55900,98577,1,2,0,1,85,2,6548,315964797,768336,135,13,0,1980-01-06T03:01:36
315964899,55900,101577,1,2,0,1,87,2,6548,315964797,768336,170,13,0,1980-01-06T03:01:39
315964902,55900,104577,1,2,0,1,90,2,6548,315964797,768336,206,13,0,1980-01-06T03:01:42
315964905,55900,107577,1,2,0,1,93,2,6548,315964797,768336,241,13,0,1980-01-06T03:01:45
315964908,55900,110577,1,2,0,1,96,2,6548,315964797,768336,21,13,0,1980-01-06T03:01:48
315964911,55900,113577,1,2,0,1,98,2,6548,315964797,768336,57,13,0,1980-01-06T03:01:51
315964914,55900,116577,1,2,0,1,101,2,6548,315964797,768336,92,13,0,1980-01-06T03:01:54
315964917,55900,119577,1,2,0,1,104,2,6548,315964797,768336,128,13,0,1980-01-06T03:01:57
315964920,55900,122577,1,2,0,1,106,2,6548,315964797,768336,163,13,0,1980-01-06T03:02:00
315964923,55900,125577,1,2,0,1,109,2,6548,315964797,768336,199,13,0,1980-01-06T03:02:03
315964926,55900,128577,1,2,0,1,112,2,6548,315964797,768336,235,13,0,1980-01-06T03:02:06
315964929,55900,131577,1,2,0,1,114,2,6548,315964797,768336,14,13,0,1980-01-06T03:02:09
315964932,55900,134577,1,2,0,1,117,2,6548,315964797,768336,50,13,0,1980-01-06T03:02:12
315964935,55900,137577,1,2,0,1,120,2,6548,315964797,768336,85,13,0,1980-01-06T03:02:15
315964938,55900,140577,1,2,0,1,123,2,6548,315964797,768336,121,13,0,1980-01-06T03:02:18
315964941,55900,143577,1,2,0,1,125,2,6548,315964797,768336,157,13,0,1980-01-06T03:02:21
315964944,55900,146577,1,2,0,1,128,2,6548,315964797,768336,192,13,0,1980-01-06T03:02:24
315964947,55900,149577,1,2,0,1,131,2,6548,315964797,768336,228,13,0,1980-01-06T03:02:27
315964950,55900,152577,1,2,0,1,133,2,6548,315964797,768336,7,13,0,1980-01-06T03:02:30
315964953,55900,155577,1,2,0,1,136,2,6548,315964797,768336,43,13,0,1980-01-06T03:02:33
315964956,55900,158577,1,2,0,1,139,2,6548,315964797,768336,79,13,0,1980-01-06T03:02:36
315964959,55900,161577,1,2,0,1,142,2,6548,315964797,768336,114,13,0,1980-01-06T03:02:39
315964962,55900,164577,1,2,0,1,144,2,6548,315964797,768336,150,13,0,1980-01-06T03:02:42
315964965,55900,167577,1,2,0,1,147,2,6548,315964797,768336,185,13,0,1980-01-06T03:02:45
315964968,55900,170577,1,2,0,1,150,2,6548,315964797,768336,221,13,0,1980-01-06T03:02:48
315964971,55900,173577,1,2,0,1,152,2,6548,315964797,768336,1,13,0,1980-01-06T03:02:51
315964974,55900,176577,1,2,0,1,155,2,6548,315964797,768336,36,13,0,1980-01-06T03:02:54
315964977,55900,179577,1,2,0,1,158,2,6548,315964797,768336,72,13,0,1980-01-06T03:02:57
315964980,55900,182577,1,2,0,1,160,2,6548,315964797,768336,107,13,0,1980-01-06T03:03:00
315964983,55900,185577,1,2,0,1,163,2,6548,315964797,768336,143,13,0,1980-01-06T03:03:03
315964986,55900,188577,1,2,0,1,166,2,6548,315964797,768336,179,13,0,1980-01-06T03:03:06
315964989,55900,191577,1,2,0,1,169,2,6548,315964797,768336,214,13,0,1980-01-06T03:03:09
315964992,55900,194577,1,2,0,1,171,2,6548,315964797,768336,250,13,0,1980-01-06T03:03:12
315964995,55900,197577,1,2,0,1,174,2,6548,315964797,768336,29,13,0,1980-01-06T03:03:15
315964999,986900,200577,1,2,0,1,177,3,200348,1,931015,65,13,0,1980-01-06T03:03:19
315965002,986900,203577,1,2,0,1,180,3,200348,1,931015,101,13,0,1980-01-06T03:03:22
315965005,986900,206577,1,2,0,1,182,3,200348,1,931015,136,13,0,1980-01-06T03:03:25
315965008,986900,209577,1,2,0,1,185,3,200348,1,931015,172,13,0,1980-01-06T03:03:28
315965011,986900,212577,1,2,0,1,188,3,200348,1,931015,207,13,0,1980-01-06T03:03:31
315965014,986900,215577,1,2,0,1,190,3,200348,1,931015,243,13,0,1980-01-06T03:03:34
315965017,986900,218577,1,2,0,1,193,3,200348,1,931015,23,13,0,1980-01-06T03:03:37
315965020,986900,221577,1,2,0,1,196,3,200348,1,931015,58,13,0,1980-01-06T03:03:40
315965023,986900,224577,1,2,0,1,198,3,200348,1,931015,94,13,0,1980-01-06T03:03:43
315965026,986900,227577,1,2,0,1,201,3,200348,1,931015,129,13,0,1980-01-06T03:03:46
315965029,986900,230577,1,2,0,1,204,3,200348,1,931015,165,13,0,1980-01-06T03:03:49
315965032,986900,233577,1,2,0,1,207,3,200348,1,931015,201,13,0,1980-01-06T03:03:52
315965035,986900,236577,1,2,0,1,209,3,200348,1,931015,236,13,0,1980-01-06T03:03:55
315965038,986900,239577,1,2,0,1,212,3,200348,1,931015,16,13,0,1980-01-06T03:03:58
315965041,986900,242577,1,2,0,1,215,3,200348,1,931015,51,13,0,1980-01-06T03:04:01
315965044,986900,245577,1,2,0,1,217,3,200348,1,931015,87,13,0,1980-01-06T03:04:04
315965047,986900,248577,1,2,0,1,220,3,200348,1,931015,123,13,0,1980-01-06T03:04:07
315965050,986900,251577,1,2,0,1,223,3,200348,1,931015,158,13,0,1980-01-06T03:04:10
315965053,986900,254577,1,2,0,1,226,3,200348,1,931015,194,13,0,1980-01-06T03:04:13
315965056,986900,257577,1,2,0,1,228,3,200348,1,931015,229,13,0,1980-01-06T03:04:16
315965059,986900,260577,1,2,0,1,231,3,200348,1,931015,9,13,0,1980-01-06T03:04:19
315965062,986900,263577,1,2,0,1,234,3,200348,1,931015,45,13,0,1980-01-06T03:04:22
315965065,986900,266577,1,2,0,1,236,3,200348,1,931015,80,13,0,1980-01-06T03:04:25
315965068,986900,269577,1,2,0,1,239,3,200348,1,931015,116,13,0,1980-01-06T03:04:28
315965071,986900,272577,1,2,0,1,242,3,200348,1,931015,151,13,0,1980-01-06T03:04:31
315965074,986900,275577,1,2,0,1,245,3,200348,1,931015,187,13,0,1980-01-06T03:04:34
315965077,986900,278577,1,2,0,1,247,3,200348,1,931015,223,13,0,1980-01-06T03:04:37
315965080,986900,281577,1,2,0,1,250,3,200348,1,931015,2,13,0,1980-01-06T03:04:40
315965083,986900,284577,1,2,0,1,253,3,200348,1,931015,38,13,0,1980-01-06T03:04:43
315965086,986900,287577,1,2,0,1,255,3,200348,1,931015,73,13,0,1980-01-06T03:04:46
315965089,986900,290577,1,2,0,1,258,3,200348,1,931015,109,13,0,1980-01-06T03:04:49
315965092,986900,293577,1,2,0,1,261,3,200348,1,931015,145,13,0,1980-01-06T03:04:52
315965095,986900,296577,1,2,0,1,264,3,200348,1,931015,180,13,0,1980-01-06T03:04:55
315965098,986900,299577,1,2,0,1,266,3,200348,1,931015,216,13,0,1980-01-06T03:04:58
315965101,986900,302577,1,2,0,1,269,3,200348,1,931015,251,13,0,1980-01-06T03:05:01
315965104,986900,305577,1,2,0,1,272,3,200348,1,931015,31,13,0,1980-01-06T03:05:04
315965107,986900,308577,1,2,0,1,274,3,200348,1,931015,67,13,0,1980-01-06T03:05:07
315965110,986900,311577,1,2,0,1,277,3,200348,1,931015,102,13,0,1980-01-06T03:05:10
315965113,986900,314577,1,2,0,1,280,3,200348,1,931015,138,13,0,1980-01-06T03:05:13
315965116,986900,317577,1,2,0,1,283,3,200348,1,931015,173,13,0,1980-01-06T03:05:16
315965119,986900,320577,1,2,0,1,285,3,200348,1,931015,209,13,0,1980-01-06T03:05:19
315965122,986900,323577,1,2,0,1,288,3,200348,1,931015,245,13,0,1980-01-06T03:05:22
315965125,986900,326577,1,2,0,1,291,3,200348,1,931015,24,13,0,1980-01-06T03:05:25
315965128,986900,329577,1,2,0,1,293,3,200348,1,931015,60,13,0,1980-01-06T03:05:28
315965131,986900,332577,1,2,0,1,296,3,200348,1,931015,95,13,0,1980-01-06T03:05:31
315965134,986900,335577,1,2,0,1,299,3,200348,1,931015,131,13,0,1980-01-06T03:05:34
315965137,986900,338577,1,2,0,1,301,3,200348,1,931015,167,13,0,1980-01-06T03:05:37
315965140,986900,341577,1,2,0,1,304,3,200348,1,931015,202,13,0,1980-01-06T03:05:40
315965143,986900,344577,1,2,0,1,307,3,200348,1,931015,238,13,0,1980-01-06T03:05:43
315965146,986900,347577,1,2,0,1,310,3,200348,1,931015,17,13,0,1980-01-06T03:05:46
315965149,986900,350577,1,2,0,1,312,3,200348,1,931015,53,13,0,1980-01-06T03:05:49
315965152,986900,353577,1,2,0,1,315,3,200348,1,931015,89,13,0,1980-01-06T03:05:52
315965155,986900,356577,1,2,0,1,318,3,200348,1,931015,124,13,0,1980-01-06T03:05:55
315965158,986900,359577,1,2,0,1,320,3,200348,1,931015,160,13,0,1980-01-06T03:05:58
315965161,986900,362577,1,2,0,1,323,3,200348,1,931015,195,13,0,1980-01-06T03:06:01
315965164,986900,365577,1,2,0,1,326,3,200348,1,931015,231,13,0,1980-01-06T03:06:04
315965167,986900,368577,1,2,0,1,329,3,200348,1,931015,11,13,0,1980-01-06T03:06:07
315965170,986900,371577,1,2,0,1,331,3,200348,1,931015,46,13,0,1980-01-06T03:06:10
315965173,986900,374577,1,2,0,1,334,3,200348,1,931015,82,13,0,1980-01-06T03:06:13
315965176,986900,377577,1,2,0,1,337,3,200348,1,931015,117,13,0,1980-01-06T03:06:16
315965179,986900,380577,1,2,0,1,339,3,200348,1,931015,153,13,0,1980-01-06T03:06:19
315965182,986900,383577,1,2,0,1,342,3,200348,1,931015,189,13,0,1980-01-06T03:06:22
315965185,986900,386577,1,2,0,1,345,3,200348,1,931015,224,13,0,1980-01-06T03:06:25
315965188,986900,389577,1,2,0,1,347,3,200348,1,931015,4,13,0,1980-01-06T03:06:28
315965191,986900,392577,1,2,0,1,350,3,200348,1,931015,39,13,0,1980-01-06T03:06:31
315965194,986900,395577,1,2,0,1,353,3,200348,1,931015,75,13,0,1980-01-06T03:06:34
315965197,986900,398577,1,2,0,1,356,3,200348,1,931015,111,13,0,1980-01-06T03:06:37
315965201,150200,401577,1,2,0,1,358,4,399748,0,163315,146,13,0,1980-01-06T03:06:41
315965204,150200,404577,1,2,0,1,361,4,399748,0,163315,182,13,0,1980-01-06T03:06:44
315965207,150200,407577,1,2,0,1,364,4,399748,0,163315,217,13,0,1980-01-06T03:06:47
315965210,150200,410577,1,2,0,1,366,4,399748,0,163315,253,13,0,1980-01-06T03:06:50
315965213,150200,413577,1,2,0,1,369,4,399748,0,163315,33,13,0,1980-01-06T03:06:53
315965216,150200,416577,1,2,0,1,372,4,399748,0,163315,68,13,0,1980-01-06T03:06:56
315965219,150200,419577,1,2,0,1,374,4,399748,0,163315,104,13,0,1980-01-06T03:06:59
315965222,150200,422577,1,2,0,1,377,4,399748,0,163315,139,13,0,1980-01-06T03:07:02
315965225,150200,425577,1,2,0,1,380,4,399748,0,163315,175,13,0,1980-01-06T03:07:05
315965228,150200,428577,1,2,0,1,383,4,399748,0,163315,211,13,0,1980-01-06T03:07:08
315965231,150200,431577,1,2,0,1,385,4,399748,0,163315,246,13,0,1980-01-06T03:07:11
315965234,150200,434577,1,2,0,1,388,4,399748,0,163315,26,13,0,1980-01-06T03:07:14
315965237,150200,437577,1,2,0,1,391,4,399748,0,163315,61,13,0,1980-01-06T03:07:17
315965240,150200,440577,1,2,0,1,394,4,399748,0,163315,97,13,0,1980-01-06T03:07:20
315965243,150200,443577,1,2,0,1,396,4,399748,0,163315,133,13,0,1980-01-06T03:07:23
315965246,150200,446577,1,2,0,1,399,4,399748,0,163315,168,13,0,1980-01-06T03:07:26
315965249,150200,449577,1,2,0,1,402,4,399748,0,163315,204,13,0,1980-01-06T03:07:29
315965252,150200,452577,1,2,0,1,404,4,399748,0,163315,239,13,0,1980-01-06T03:07:32
315965255,150200,455577,1,2,0,1,407,4,399748,0,163315,19,13,0,1980-01-06T03:07:35
315965258,150200,458577,1,2,0,1,410,4,399748,0,163315,55,13,0,1980-01-06T03:07:38
315965261,150200,461577,1,2,0,1,413,4,399748,0,163315,90,13,0,1980-01-06T03:07:41
315965264,150200,464577,1,2,0,1,415,4,399748,0,163315,126,13,0,1980-01-06T03:07:44
315965267,150200,467577,1,2,0,1,418,4,399748,0,163315,161,13,0,1980-01-06T03:07:47
315965270,150200,470577,1,2,0,1,421,4,399748,0,163315,197,13,0,1980-01-06T03:07:50
315965273,150200,473577,1,2,0,1,423,4,399748,0,163315,233,13,0,1980-01-06T03:07:53
315965276,150200,476577,1,2,0,1,426,4,399748,0,163315,12,13,0,1980-01-06T03:07:56
315965279,150200,479577,1,2,0,1,429,4,399748,0,163315,48,13,0,1980-01-06T03:07:59
315965282,150200,482577,1,2,0,1,432,4,399748,0,163315,83,13,0,1980-01-06T03:08:02
315965285,150200,485577,1,2,0,1,434,4,399748,0,163315,119,13,0,1980-01-06T03:08:05
315965288,150200,488577,1,2,0,1,437,4,399748,0,163315,155,13,0,1980-01-06T03:08:08
315965291,150200,491577,1,2,0,1,440,4,399748,0,163315,190,13,0,1980-01-06T03:08:11
315965294,150200,494577,1,2,0,1,442,4,399748,0,163315,226,13,0,1980-01-06T03:08:14
315965297,150200,497577,1,2,0,1,445,4,399748,0,163315,5,13,0,1980-01-06T03:08:17
315965300,150200,500577,1,2,0,1,448,4,399748,0,163315,41,13,0,1980-01-06T03:08:20
315965303,150200,503577,1,2,0,1,451,4,399748,0,163315,77,13,0,1980-01-06T03:08:23
315965306,150200,506577,1,2,0,1,453,4,399748,0,163315,112,13,0,1980-01-06T03:08:26
315965309,150200,509577,1,2,0,1,456,4,399748,0,163315,148,13,0,1980-01-06T03:08:29
315965312,150200,512577,1,2,0,1,459,4,399748,0,163315,183,13,0,1980-01-06T03:08:32
315965315,150200,515577,1,2,0,1,461,4,399748,0,163315,219,13,0,1980-01-06T03:08:35
315965318,150200,518577,1,2,0,1,464,4,399748,0,163315,255,13,0,1980-01-06T03:08:38
315965321,150200,521577,1,2,0,1,467,4,399748,0,163315,34,13,0,1980-01-06T03:08:41
315965324,150200,524577,1,2,0,1,470,4,399748,0,163315,70,13,0,1980-01-06T03:08:44
315965327,150200,527577,1,2,0,1,472,4,399748,0,163315,105,13,0,1980-01-06T03:08:47
315965330,150200,530577,1,2,0,1,475,4,399748,0,163315,141,13,0,1980-01-06T03:08:50
315965333,150200,533577,1,2,0,1,478,4,399748,0,163315,177,13,0,1980-01-06T03:08:53
315965336,150200,536577,1,2,0,1,480,4,399748,0,163315,212,13,0,1980-01-06T03:08:56
315965339,150200,539577,1,2,0,1,483,4,399748,0,163315,248,13,0,1980-01-06T03:08:59
315965342,150200,542577,1,2,0,1,486,4,399748,0,163315,27,13,0,1980-01-06T03:09:02
315965345,150200,545577,1,2,0,1,488,4,399748,0,163315,63,13,0,1980-01-06T03:09:05
315965348,150200,548577,1,2,0,1,491,4,399748,0,163315,99,13,0,1980-01-06T03:09:08
315965351,150200,551577,1,2,0,1,494,4,399748,0,163315,134,13,0,1980-01-06T03:09:11
315965354,150200,554577,1,2,0,1,497,4,399748,0,163315,170,13,0,1980-01-06T03:09:14
315965357,150200,557577,1,2,0,1,499,4,399748,0,163315,205,13,0,1980-01-06T03:09:17
315965360,150200,560577,1,2,0,1,502,4,399748,0,163315,241,13,0,1980-01-06T03:09:20
315965363,150200,563577,1,2,0,1,505,4,399748,0,163315,21,13,0,1980-01-06T03:09:23
315965366,150200,566577,1,2,0,1,507,4,399748,0,163315,56,13,0,1980-01-06T03:09:26
315965369,150200,569577,1,2,0,1,510,4,399748,0,163315,92,13,0,1980-01-06T03:09:29
315965372,150200,572577,1,2,0,1,513,4,399748,0,163315,127,13,0,1980-01-06T03:09:32
315965375,150200,575577,1,2,0,1,516,4,399748,0,163315,163,13,0,1980-01-06T03:09:35
315965378,150200,578577,1,2,0,1,518,4,399748,0,163315,199,13,0,1980-01-06T03:09:38
315965381,150200,581577,1,2,0,1,521,4,399748,0,163315,234,13,0,1980-01-06T03:09:41
315965384,150200,584577,1,2,0,1,524,4,399748,0,163315,14,13,0,1980-01-06T03:09:44
315965387,150200,587577,1,2,0,1,526,4,399748,0,163315,49,13,0,1980-01-06T03:09:47
315965390,150200,590577,1,2,0,1,529,4,399748,0,163315,85,13,0,1980-01-06T03:09:50
315965393,150200,593577,1,2,0,1,532,4,399748,0,163315,121,13,0,1980-01-06T03:09:53
315965396,150200,596577,1,2,0,1,535,4,399748,0,163315,156,13,0,1980-01-06T03:09:56
315965399,150200,599577,1,2,0,1,537,4,399748,0,163315,192,13,0,1980-01-06T03:09:59
315965402,418400,602577,1,2,0,1,540,5,600948,0,268294,227,13,0,1980-01-06T03:10:02
315965405,418400,605577,1,2,0,1,543,5,600948,0,268294,7,13,0,1980-01-06T03:10:05
315965408,418400,608577,1,2,0,1,545,5,600948,0,268294,43,13,0,1980-01-06T03:10:08
315965411,418400,611577,1,2,0,1,548,5,600948,0,268294,78,13,0,1980-01-06T03:10:11
315965414,418400,614577,1,2,0,1,551,5,600948,0,268294,114,13,0,1980-01-06T03:10:14
315965417,418400,617577,1,2,0,1,554,5,600948,0,268294,149,13,0,1980-01-06T03:10:17
315965420,418400,620577,1,2,0,1,556,5,600948,0,268294,185,13,0,1980-01-06T03:10:20
315965423,418400,623577,1,2,0,1,559,5,600948,0,268294,221,13,0,1980-01-06T03:10:23
315965426,418400,626577,1,2,0,1,562,5,600948,0,268294,0,13,0,1980-01-06T03:10:26
315965429,418400,629577,1,2,0,1,564,5,600948,0,268294,36,13,0,1980-01-06T03:10:29
315965432,418400,632577,1,2,0,1,567,5,600948,0,268294,71,13,0,1980-01-06T03:10:32
315965435,418400,635577,1,2,0,1,570,5,600948,0,268294,107,13,0,1980-01-06T03:10:35
315965438,418400,638577,1,2,0,1,573,5,600948,0,268294,143,13,0,1980-01-06T03:10:38
315965441,418400,641577,1,2,0,1,575,5,600948,0,268294,178,13,0,1980-01-06T03:10:41
315965444,418400,644577,1,2,0,1,578,5,600948,0,268294,214,13,0,1980-01-06T03:10:44
315965447,418400,647577,1,2,0,1,581,5,600948,0,268294,249,13,0,1980-01-06T03:10:47
315965450,418400,650577,1,2,0,1,583,5,600948,0,268294,29,13,0,1980-01-06T03:10:50
315965453,418400,653577,1,2,0,1,586,5,600948,0,268294,65,13,0,1980-01-06T03:10:53
315965456,418400,656577,1,2,0,1,589,5,600948,0,268294,100,13,0,1980-01-06T03:10:56
315965459,418400,659577,1,2,0,1,592,5,600948,0,268294,136,13,0,1980-01-06T03:10:59
315965462,418400,662577,1,2,0,1,594,5,600948,0,268294,171,13,0,1980-01-06T03:11:02
315965465,418400,665577,1,2,0,1,597,5,600948,0,268294,207,13,0,1980-01-06T03:11:05
315965468,418400,668577,1,2,0,1,600,5,600948,0,268294,243,13,0,1980-01-06T03:11:08
315965471,418400,671577,1,2,0,1,602,5,600948,0,268294,22,13,0,1980-01-06T03:11:11
315965474,418400,674577,1,2,0,1,605,5,600948,0,268294,58,13,0,1980-01-06T03:11:14
315965477,418400,677577,1,2,0,1,608,5,600948,0,268294,93,13,0,1980-01-06T03:11:17
315965480,418400,680577,1,2,0,1,611,5,600948,0,268294,129,13,0,1980-01-06T03:11:20
315965483,418400,683577,1,2,0,1,613,5,600948,0,268294,165,13,0,1980-01-06T03:11:23
315965486,418400,686577,1,2,0,1,616,5,600948,0,268294,200,13,0,1980-01-06T03:11:26
315965489,418400,689577,1,2,0,1,619,5,600948,0,268294,236,13,0,1980-01-06T03:11:29
315965492,418400,692577,1,2,0,1,621,5,600948,0,268294,15,13,0,1980-01-06T03:11:32
315965495,418400,695577,1,2,0,1,624,5,600948,0,268294,51,13,0,1980-01-06T03:11:35
315965498,418400,698577,1,2,0,1,627,5,600948,0,268294,87,13,0,1980-01-06T03:11:38
315965501,418400,701577,1,2,0,1,630,5,600948,0,268294,122,13,0,1980-01-06T03:11:41
315965504,418400,704577,1,2,0,1,632,5,600948,0,268294,158,13,0,1980-01-06T03:11:44
315965507,418400,707577,1,2,0,1,635,5,600948,0,268294,193,13,0,1980-01-06T03:11:47
315965510,418400,710577,1,2,0,1,638,5,600948,0,268294,229,13,0,1980-01-06T03:11:50
315965513,418400,713577,1,2,0,1,640,5,600948,0,268294,9,13,0,1980-01-06T03:11:53
315965516,418400,716577,1,2,0,1,643,5,600948,0,268294,44,13,0,1980-01-06T03:11:56
315965519,418400,719577,1,2,0,1,646,5,600948,0,268294,80,13,0,1980-01-06T03:11:59
315965522,418400,722577,1,2,0,1,648,5,600948,0,268294,115,13,0,1980-01-06T03:12:02
315965525,418400,725577,1,2,0,1,651,5,600948,0,268294,151,13,0,1980-01-06T03:12:05
315965528,418400,728577,1,2,0,1,654,5,600948,0,268294,187,13,0,1980-01-06T03:12:08
315965531,418400,731577,1,2,0,1,657,5,600948,0,268294,222,13,0,1980-01-06T03:12:11
315965534,418400,734577,1,2,0,1,659,5,600948,0,268294,2,13,0,1980-01-06T03:12:14
315965537,418400,737577,1,2,0,1,662,5,600948,0,268294,37,13,0,1980-01-06T03:12:17
315965540,418400,740577,1,2,0,1,665,5,600948,0,268294,73,13,0,1980-01-06T03:12:20
315965543,418400,743577,1,2,0,1,667,5,600948,0,268294,109,13,0,1980-01-06T03:12:23
315965546,418400,746577,1,2,0,1,670,5,600948,0,268294,144,13,0,1980-01-06T03:12:26
315965549,418400,749577,1,2,0,1,673,5,600948,0,268294,180,13,0,1980-01-06T03:12:29
315965552,418400,752577,1,2,0,1,676,5,600948,0,268294,215,13,0,1980-01-06T03:12:32
315965555,418400,755577,1,2,0,1,678,5,600948,0,268294,251,13,0,1980-01-06T03:12:35
315965558,418400,758577,1,2,0,1,681,5,600948,0,268294,31,13,0,1980-01-06T03:12:38
315965561,418400,761577,1,2,0,1,684,5,600948,0,268294,66,13,0,1980-01-06T03:12:41
315965564,418400,764577,1,2,0,1,686,5,600948,0,268294,102,13,0,1980-01-06T03:12:44
315965567,418400,767577,1,2,0,1,689,5,600948,0,268294,137,13,0,1980-01-06T03:12:47
315965570,418400,770577,1,2,0,1,692,5,600948,0,268294,173,13,0,1980-01-06T03:12:50
315965573,418400,773577,1,2,0,1,695,5,600948,0,268294,209,13,0,1980-01-06T03:12:53
315965576,418400,776577,1,2,0,1,697,5,600948,0,268294,244,13,0,1980-01-06T03:12:56
315965579,418400,779577,1,2,0,1,700,5,600948,0,268294,24,13,0,1980-01-06T03:12:59
315965582,418400,782577,1,2,0,1,703,5,600948,0,268294,59,13,0,1980-01-06T03:13:02
315965585,418400,785577,1,2,0,1,705,5,600948,0,268294,95,13,0,1980-01-06T03:13:05
315965588,418400,788577,1,2,0,1,708,5,600948,0,268294,131,13,0,1980-01-06T03:13:08
315965591,418400,791577,1,2,0,1,711,5,600948,0,268294,166,13,0,1980-01-06T03:13:11
315965594,418400,794577,1,2,0,1,714,5,600948,0,268294,202,13,0,1980-01-06T03:13:14
315965597,418400,797577,1,2,0,1,716,5,600948,0,268294,237,13,0,1980-01-06T03:13:17
315965600,418400,800577,1,2,0,1,719,5,600948,0,268294,17,13,0,1980-01-06T03:13:20
315965603,545500,803577,1,2,0,1,722,6,802348,0,127183,53,13,0,1980-01-06T03:13:23
315965606,545500,806577,1,2,0,1,724,6,802348,0,127183,88,13,0,1980-01-06T03:13:26
315965609,545500,809577,1,2,0,1,727,6,802348,0,127183,124,13,0,1980-01-06T03:13:29
315965612,545500,812577,1,2,0,1,730,6,802348,0,127183,159,13,0,1980-01-06T03:13:32
315965615,545500,815577,1,2,0,1,733,6,802348,0,127183,195,13,0,1980-01-06T03:13:35
315965618,545500,818577,1,2,0,1,735,6,802348,0,127183,231,13,0,1980-01-06T03:13:38
315965621,545500,821577,1,2,0,1,738,6,802348,0,127183,10,13,0,1980-01-06T03:13:41
315965624,545500,824577,1,2,0,1,741,6,802348,0,127183,46,13,0,1980-01-06T03:13:44
315965627,545500,827577,1,2,0,1,743,6,802348,0,127183,81,13,0,1980-01-06T03:13:47
315965630,545500,830577,1,2,0,1,746,6,802348,0,127183,117,13,0,1980-01-06T03:13:50
315965633,545500,833577,1,2,0,1,749,6,802348,0,127183,153,13,0,1980-01-06T03:13:53
315965636,545500,836577,1,2,0,1,751,6,802348,0,127183,188,13,0,1980-01-06T03:13:56
315965639,545500,839577,1,2,0,1,754,6,802348,0,127183,224,13,0,1980-01-06T03:13:59
315965642,545500,842577,1,2,0,1,757,6,802348,0,127183,3,13,0,1980-01-06T03:14:02
